CategoryTitle,CategoryTitleEn,SubcategoryTitle,SubcategoryTitleEn,ItemName,ItemNameEn,ItemPrice,Calories,PortionSize,Availability,ItemDescription,ItemDescriptionEn
"CERVEJA","BEER","","","Imperial","Draft Beer",1.80,,,,,
"CERVEJA","BEER","","","Caneca","Beer Mug",3.50,,,,,
"CERVEJA","BEER","","","Panaché","Soda Beer",1.80,,,,,
"CERVEJA","BEER","","","Tango","Red Currant Syrup and Beer",1.90,,,,,
"CERVEJA","BEER","","","Sagres Zero","Bottled beer zero",2.20,,,,,
"CERVEJA","BEER","","","Super Bock Stout","Bottled Black Beer",2.80,,,,,
"ÁGUAS & REFRIGERANTES","WATER & SOFT DRINKS","","","Água Mineral","Mineral Water",1.50,,,,,
"ÁGUAS & REFRIGERANTES","WATER & SOFT DRINKS","","","Água Mineral 1L","Mineral Water",3.00,,,,,
"ÁGUAS & REFRIGERANTES","WATER & SOFT DRINKS","","","Água com Gás","Sparkling Water",1.60,,,,,
"ÁGUAS & REFRIGERANTES","WATER & SOFT DRINKS","","","Água com Gás 0,75 L","Sparkling Water",3.50,,,,,
"ÁGUAS & REFRIGERANTES","WATER & SOFT DRINKS","","","Frize Limão","Sparkling Lemon Water",1.60,,,,,
"ÁGUAS & REFRIGERANTES","WATER & SOFT DRINKS","","","Refrigerantes de Lata","Soft Drink",2.00,,,,,
"ÁGUAS & REFRIGERANTES","WATER & SOFT DRINKS","","","Iced Tea / Sumol Laranja / Coca-Cola / Coca-Cola Zero","",2.00,,,,,
"SUMOS NATURAIS","NATURAL JUICES","","","Limonada","Lemonade",3.00,,,,,
"SUMOS NATURAIS","NATURAL JUICES","","","Sumo Laranja Natural","Natural Orange Juice",3.50,,,,,
"CAFETARIA","","","","Café","",1.00,,,,,
"CAFETARIA","","","","Abatanado","",1.20,,,,,
"CAFETARIA","","","","Café Duplo","",1.50,,,,,
"CAFETARIA","","","","Meia de Leite","",1.60,,,,,
"CAFETARIA","","","","Galão","",2.00,,,,,
"CAFETARIA","","","","Cappuccino","",2.00,,,,,
"CAFETARIA","","","","Iced Latte","",2.50,,,,,
"CAFETARIA","","","","Chá / Tea","",1.50,,,,,
